method,variable,importance,p_value,score,time,group_based,group_stack
CPI-DNN,25445-2.0,3.7669354546453806e-06,0.26871897774733894,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25297-2.0,8.696613947044571e-06,0.2747123730231096,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25296-2.0,7.8059162875282e-06,0.29017592733131226,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,4631-2.0,2.4919101640256802e-05,0.2931780122412115,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,806-2.0,2.4395299904126906e-05,0.2961143798678494,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,6145-2.0,5.5895732997035755e-05,0.29792034833548475,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25203-2.0,6.061768285622028e-06,0.3056994594963926,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,1677-2.0,4.492028372618497e-05,0.3107456327051412,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25393-2.0,1.8588474873655974e-05,0.3117207808445396,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25058-2.0,5.042788159542883e-06,0.32508662072674854,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25892-2.0,1.4508440279773833e-05,0.32603160180333357,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,709-2.0,2.813332908185195e-05,0.3637326150740272,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25347-2.0,7.768964755914931e-06,0.38743171439700647,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25204-2.0,2.15618260535731e-06,0.3903296841277777,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25060-2.0,7.249901986798492e-07,0.4059036018208845,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25106-2.0,1.2843241966814935e-06,0.4498554048187594,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25200-2.0,6.043165832163677e-07,0.44999136774261966,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25201-2.0,3.700212602015291e-07,0.4570972155438875,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25346-2.0,2.1875884846800592e-06,0.46352696357450457,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25248-2.0,1.125423646282507e-06,0.47605358975967865,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25107-2.0,1.3890439972663097e-08,0.4991781830535635,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,20127-0.0,-4.496347573312206e-06,0.5217062559536204,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25251-2.0,-3.571146918272416e-07,0.5306801802404286,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25395-2.0,-2.5335238104265613e-06,0.5805266342984238,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25397-2.0,-1.4636385614604974e-06,0.5855678242768471,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25299-2.0,-2.344006997800744e-06,0.6008299696016144,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25057-2.0,-1.685045485449908e-05,0.6137757408687764,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25205-2.0,-1.8629570555367893e-06,0.6221910097318145,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25249-2.0,-2.7147650964621063e-06,0.6503604161449414,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,2040-2.0,-2.8135105966818336e-05,0.654297127492802,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25156-2.0,-6.250479549064276e-06,0.664112154547733,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25250-2.0,-4.331882298913039e-06,0.6895032162083904,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25025-2.0,-6.317184654694893e-06,0.7091958766623387,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25440-2.0,-2.3975883045556448e-06,0.7151914105146319,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,20016-2.0,-2.7961897391441788e-05,0.7169466910362421,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,738-2.0,-0.00020814247786485443,0.7208601372786694,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25898-2.0,-1.8089419963014135e-05,0.7328028537652418,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25105-2.0,-3.1090912468981804e-06,0.7611861789431609,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25392-2.0,-1.0412526295925351e-05,0.7653370069616459,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25108-2.0,-5.0483797562039084e-06,0.7853830007952096,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,31-0.0,-0.00012845688937696353,0.798224905126252,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25298-2.0,-1.0691383005285986e-05,0.8020138679856146,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,6142-2.0,-3.3975092107998264e-05,0.825883442998715,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25442-2.0,-1.2689849732499938e-05,0.8317482844273006,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25348-2.0,-1.7043798713221686e-05,0.8444638392792483,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25901-2.0,-3.345377925955903e-05,0.8482451042493636,0.0228086176490761,5.458830177799973,False,False
CPI-DNN,25001-2.0,-2.238152015317806e-05,0.8510750705823231,0.0228086176490761,5.458830177799973,False,False
