method,variable,importance,p_value,score,time,group_based,group_stack
Permfit-DNN,25201-2.0,-0.0833949812651091,0.8193361018694465,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25904-2.0,-0.0660932592591921,0.8263737138737745,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4620-2.0,-0.5427922832965062,0.8415504574695322,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,6142-2.0,-0.06684994499022885,0.8607445955630972,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25106-2.0,-0.033943106793470276,0.8683579387588732,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25202-2.0,-0.0510736835547691,0.8686612899160622,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25910-2.0,-0.0965562793484429,0.8691550293416559,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25156-2.0,-0.09077075036320505,0.8701588530928706,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4559-2.0,-0.02077542463579068,0.8774369063209335,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25152-2.0,-0.08270862907384528,0.915559142636599,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25913-2.0,-0.12353371703981057,0.917194174579658,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,4537-2.0,-0.09327698608159743,0.9340713620864464,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,806-2.0,-0.251501393918644,0.9481113517070269,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,767-2.0,-0.7371287939509372,0.9609635567558291,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,816-2.0,-0.12737682015671242,0.9710353392123867,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25347-2.0,-0.13443839901589524,0.9778782543705387,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,1677-2.0,-0.21895272611320046,0.9811586120633745,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25393-2.0,-0.2348540184845063,0.985856582417293,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25153-2.0,-0.19249654696080964,0.9946628329881615,0.04491023502938796,1.4853743857670147,False,False
Permfit-DNN,25346-2.0,-0.10936012069738943,0.9984557794727759,0.04491023502938796,1.4853743857670147,False,False
