method,variable,importance,p_value,score,time,group_based,group_stack
Permfit-DNN,25348-2.0,1.8372424794776923e-05,0.4156437811172521,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25345-2.0,3.8945176667400694e-05,0.4266457264672989,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4537-2.0,1.2739351198493851e-05,0.4381704911744448,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25444-2.0,1.678066597495826e-06,0.4487796216753859,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25346-2.0,1.0284648557272196e-05,0.45002309381829914,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25106-2.0,6.6759157720234585e-06,0.45417848396998206,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25202-2.0,6.1807943690185945e-06,0.45697826406587033,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,4620-2.0,1.4100383176595295e-05,0.4731234868204027,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,6138-2.0,-7.314386724913376e-06,0.5110010931938529,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25250-2.0,-5.489152525671861e-06,0.5547660931613992,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,738-2.0,-5.772227652574935e-05,0.5632436713550483,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25298-2.0,-1.23911447861149e-05,0.572431788626569,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25200-2.0,-9.824892767861604e-06,0.6030698768747021,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25913-2.0,-2.2276086998201396e-05,0.6060877595076634,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,806-2.0,-2.084689381436699e-05,0.6068780144814243,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,6160-2.0,-4.8791847092719355e-05,0.6182860573134983,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25916-2.0,-2.7999652627497424e-05,0.6203910659532416,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25107-2.0,-1.3460096773249936e-05,0.6245366373058826,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25392-2.0,-2.174877946852451e-05,0.6260402052075014,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25442-2.0,-1.6632833992962238e-05,0.6322442813817959,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25440-2.0,-1.7391927042291284e-05,0.6409044231667774,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25252-2.0,-6.2953470355042575e-06,0.6511289044756767,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25299-2.0,-2.045781154359818e-05,0.6664094452311983,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25058-2.0,-5.919062929245174e-05,0.6851604769717634,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25203-2.0,-4.0839861426558794e-05,0.7131114385914592,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25443-2.0,-1.157833127508604e-05,0.7573768975803146,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25251-2.0,-2.852898934360643e-05,0.7664075280035413,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25394-2.0,-8.083134103325318e-05,0.7678116872798346,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25898-2.0,-9.12073443323649e-05,0.8141634084010361,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25057-2.0,-0.0002052848930300947,0.8225132058002349,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25907-2.0,-2.7124428644189574e-05,0.8326162126991591,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25060-2.0,-2.8229996181652234e-05,0.8361059903035959,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25059-2.0,-7.324694415654262e-05,0.848776471735022,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25393-2.0,-4.34681270554635e-05,0.8518824743619118,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25396-2.0,-1.5159355718038121e-05,0.8764868335848318,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25904-2.0,-8.105703852161711e-05,0.890095022029276,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,21022-0.0,-0.00010291266640639348,0.9022387322807284,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25297-2.0,-0.0002922921493210358,0.9264861592311953,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25249-2.0,-5.728927318850002e-05,0.9488796256433334,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25025-2.0,-7.757154846141121e-05,0.9609916136457988,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25105-2.0,-5.365101421609028e-05,0.9620465561272442,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,2040-2.0,-0.0003711659727177981,0.9788123028797999,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25205-2.0,-0.00011355875981171684,0.9856013426185394,0.024558316798519386,4.5458198531167,False,False
Permfit-DNN,25910-2.0,-0.00011305957417915388,0.9923531935301487,0.024558316798519386,4.5458198531167,False,False
