method,importance,p_value,score,elapsed,correlation,correlation_group,n_samples,prob_data,group_based,group_stack,iteration
CPI-DNN,1.23963996839748,6.70001160639861e-13,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,3.17075854288793,2.7771194051051e-25,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.762459152524865,1.43894153441449e-07,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.405392395038558,0.000124886328542042,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.311828438638622,0.000377904553281871,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.00665431906392618,0.402493998067597,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,2.316395849174,2.91763082871864e-17,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,1.8236737732333,9.79259948883462e-18,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,1.16935674468045,5.83404049525307e-09,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,2.37245110116058,6.01149359085868e-21,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0130823487868644,0.665960766461276,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0334768510359669,0.971380242133258,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0146933571141172,0.266725266613515,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.00585653283238276,0.623683694551725,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,-0.0274390383078653,0.735144897092401,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.00761192990361551,0.390540576413861,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.0137531390039173,0.26185251611947,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
CPI-DNN,0.048316981284452,0.0454703101735465,0.925330910497406,866.536,0.8,0,1000,regression,FALSE,FALSE,3
