,Method,correlation,n_samples,prob_data,iteration,V1
173,Permfit-DNN,0.2,300,regression_perm,73,0.764210526315789
174,Permfit-DNN,0.2,300,regression_perm,74,0.637894736842105
175,Permfit-DNN,0.2,300,regression_perm,75,0.688421052631579
176,Permfit-DNN,0.2,300,regression_perm,76,0.648421052631579
177,Permfit-DNN,0.2,300,regression_perm,77,0.76
178,Permfit-DNN,0.2,300,regression_perm,78,0.934736842105263
179,Permfit-DNN,0.2,300,regression_perm,79,0.76842105263158
180,Permfit-DNN,0.2,300,regression_perm,80,0.867368421052632
181,Permfit-DNN,0.2,300,regression_perm,81,0.517894736842105
182,Permfit-DNN,0.2,300,regression_perm,82,0.812631578947369
183,Permfit-DNN,0.2,300,regression_perm,83,0.743157894736842
184,Permfit-DNN,0.2,300,regression_perm,84,0.658947368421053
185,Permfit-DNN,0.2,300,regression_perm,85,0.682105263157895
186,Permfit-DNN,0.2,300,regression_perm,86,0.538947368421053
187,Permfit-DNN,0.2,300,regression_perm,87,0.631578947368421
188,Permfit-DNN,0.2,300,regression_perm,88,0.760000000000001
189,Permfit-DNN,0.2,300,regression_perm,89,0.743157894736842
190,Permfit-DNN,0.2,300,regression_perm,90,0.762105263157896
191,Permfit-DNN,0.2,300,regression_perm,91,0.663157894736842
192,Permfit-DNN,0.2,300,regression_perm,92,0.745263157894738
193,Permfit-DNN,0.2,300,regression_perm,93,0.842105263157895
194,Permfit-DNN,0.2,300,regression_perm,94,0.677894736842105
195,Permfit-DNN,0.2,300,regression_perm,95,0.924210526315789
196,Permfit-DNN,0.2,300,regression_perm,96,0.8
197,Permfit-DNN,0.2,300,regression_perm,97,0.762105263157895
198,Permfit-DNN,0.2,300,regression_perm,98,0.873684210526316
199,Permfit-DNN,0.2,300,regression_perm,99,0.663157894736842
200,Permfit-DNN,0.2,300,regression_perm,100,0.732631578947369
201,Permfit-DNN,0.5,300,regression_perm,1,0.924210526315789
202,Permfit-DNN,0.5,300,regression_perm,2,0.726315789473684
203,Permfit-DNN,0.5,300,regression_perm,3,0.753684210526316
