method,score,elapsed,correlation,n_samples,prob_data,iteration,importance,p_value
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.69023234944268,4.085211129289453e-13
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,2.039982293245242,1.5445059993243298e-32
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.000865866052648812,0.4869674369821326
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.060323031618254155,0.9818638955517637
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.07630929294419399,0.9900388800999458
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.004613691456649343,0.3726303229201847
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.0008666499996606039,0.4762771498272003
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.01543429499545665,0.8649415471328192
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.0014699356624243132,0.5485115440416296
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.0030300722374355703,0.6349065998231189
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.008589481666408631,0.3709533387670341
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.017410364375304337,0.16954534243678576
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.013698487465056156,0.8826030310473162
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.008464861515840614,0.18437167868583343
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.012518604928135777,0.3025512000658478
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.0050263167700582674,0.7172728315865886
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.022869886664316753,0.927991153417461
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.04762417244566342,0.9832552937947271
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.00862040833201361,0.2382222348637862
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.05279277728572236,0.9731811516517743
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.0012437221033500432,0.5304589140172089
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.04474951954824684,0.01087613824890722
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.015435458668713509,0.8766177995817012
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.0064893570489376814,0.8512434734642527
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.0119820978235149,0.3419278478037837
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.007638229242708876,0.8116962193928003
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.0042331441723619705,0.5891145530760761
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.014756420948757471,0.8139675803096498
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.011553739989000661,0.6706885536077494
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.001286486172551077,0.45149653690294067
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,-0.01809480412133928,0.759857154950284
CPI-DNN,0.9212763211116255,821.9872870445251,0.8,1000,regression_combine,1,0.008560299376680328,0.4008276154442174
CPI-DNN,0.9106754167703968,827.9744789600372,0.8,1000,regression_combine,2,0.15726789399849317,8.166204844671107e-05
CPI-DNN,0.9106754167703968,827.9744789600372,0.8,1000,regression_combine,2,0.3387403873951457,2.0384609239356736e-11
CPI-DNN,0.9106754167703968,827.9744789600372,0.8,1000,regression_combine,2,0.05787417880843058,0.059625953564396476
