,Method,correlation,n_samples,prob_data,iteration,V1
126,Permfit-DNN,0.2,300,regression_perm,26,0.031578947368421
127,Permfit-DNN,0.2,300,regression_perm,27,0.052631578947368
128,Permfit-DNN,0.2,300,regression_perm,28,0.052631578947368
129,Permfit-DNN,0.2,300,regression_perm,29,0.073684210526316
130,Permfit-DNN,0.2,300,regression_perm,30,0.157894736842105
131,Permfit-DNN,0.2,300,regression_perm,31,0.063157894736842
132,Permfit-DNN,0.2,300,regression_perm,32,0.08421052631579
133,Permfit-DNN,0.2,300,regression_perm,33,0.08421052631579
134,Permfit-DNN,0.2,300,regression_perm,34,0.052631578947368
135,Permfit-DNN,0.2,300,regression_perm,35,0.073684210526316
136,Permfit-DNN,0.2,300,regression_perm,36,0.136842105263158
137,Permfit-DNN,0.2,300,regression_perm,37,0.094736842105263
138,Permfit-DNN,0.2,300,regression_perm,38,0.052631578947368
139,Permfit-DNN,0.2,300,regression_perm,39,0.08421052631579
140,Permfit-DNN,0.2,300,regression_perm,40,0.115789473684211
141,Permfit-DNN,0.2,300,regression_perm,41,0.063157894736842
142,Permfit-DNN,0.2,300,regression_perm,42,0.063157894736842
143,Permfit-DNN,0.2,300,regression_perm,43,0.094736842105263
144,Permfit-DNN,0.2,300,regression_perm,44,0.105263157894737
145,Permfit-DNN,0.2,300,regression_perm,45,0.08421052631579
146,Permfit-DNN,0.2,300,regression_perm,46,0.073684210526316
147,Permfit-DNN,0.2,300,regression_perm,47,0.042105263157895
148,Permfit-DNN,0.2,300,regression_perm,48,0.052631578947368
149,Permfit-DNN,0.2,300,regression_perm,49,0.010526315789474
150,Permfit-DNN,0.2,300,regression_perm,50,0.010526315789474
151,Permfit-DNN,0.2,300,regression_perm,51,0.126315789473684
152,Permfit-DNN,0.2,300,regression_perm,52,0.042105263157895
153,Permfit-DNN,0.2,300,regression_perm,53,0.042105263157895
154,Permfit-DNN,0.2,300,regression_perm,54,0.063157894736842
155,Permfit-DNN,0.2,300,regression_perm,55,0.031578947368421
156,Permfit-DNN,0.2,300,regression_perm,56,0.094736842105263
157,Permfit-DNN,0.2,300,regression_perm,57,0.105263157894737
158,Permfit-DNN,0.2,300,regression_perm,58,0.094736842105263
159,Permfit-DNN,0.2,300,regression_perm,59,0.105263157894737
160,Permfit-DNN,0.2,300,regression_perm,60,0.063157894736842
161,Permfit-DNN,0.2,300,regression_perm,61,0.052631578947368
162,Permfit-DNN,0.2,300,regression_perm,62,0.052631578947368
163,Permfit-DNN,0.2,300,regression_perm,63,0.126315789473684
164,Permfit-DNN,0.2,300,regression_perm,64,0.031578947368421
