"","method","correlation","n_samples","prob_data","iteration","prob_type","V1"
"119","LOCO-DNN",0.8,1000,"regression",19,"regression",0.6
"120","LOCO-DNN",0.8,1000,"regression",20,"regression",0.65
"121","LOCO-DNN",0.8,1000,"regression",21,"regression",0.65
"122","LOCO-DNN",0.8,1000,"regression",22,"regression",0.75
"123","LOCO-DNN",0.8,1000,"regression",23,"regression",0.45
"124","LOCO-DNN",0.8,1000,"regression",24,"regression",0.65
"125","LOCO-DNN",0.8,1000,"regression",25,"regression",0.55
"126","LOCO-DNN",0.8,1000,"regression",26,"regression",0.65
"127","LOCO-DNN",0.8,1000,"regression",27,"regression",0.65
"128","LOCO-DNN",0.8,1000,"regression",28,"regression",0.65
"129","LOCO-DNN",0.8,1000,"regression",29,"regression",0.5
"130","LOCO-DNN",0.8,1000,"regression",30,"regression",0.3
"131","LOCO-DNN",0.8,1000,"regression",31,"regression",0.6
"132","LOCO-DNN",0.8,1000,"regression",32,"regression",0.95
"133","LOCO-DNN",0.8,1000,"regression",33,"regression",0.6
"134","LOCO-DNN",0.8,1000,"regression",34,"regression",0.55
"135","LOCO-DNN",0.8,1000,"regression",35,"regression",0.6
"136","LOCO-DNN",0.8,1000,"regression",36,"regression",0.4
"137","LOCO-DNN",0.8,1000,"regression",37,"regression",0.65
"138","LOCO-DNN",0.8,1000,"regression",38,"regression",0.65
"139","LOCO-DNN",0.8,1000,"regression",39,"regression",0.8
"140","LOCO-DNN",0.8,1000,"regression",40,"regression",0.45
"141","LOCO-DNN",0.8,1000,"regression",41,"regression",0.45
"142","LOCO-DNN",0.8,1000,"regression",42,"regression",0.5
"143","LOCO-DNN",0.8,1000,"regression",43,"regression",0.55
"144","LOCO-DNN",0.8,1000,"regression",44,"regression",0.7
"145","LOCO-DNN",0.8,1000,"regression",45,"regression",0.8
"146","LOCO-DNN",0.8,1000,"regression",46,"regression",0.7
"147","LOCO-DNN",0.8,1000,"regression",47,"regression",0.4
"148","LOCO-DNN",0.8,1000,"regression",48,"regression",0.6
"149","LOCO-DNN",0.8,1000,"regression",49,"regression",0.55
"150","LOCO-DNN",0.8,1000,"regression",50,"regression",0.5
"151","LOCO-DNN",0.8,1000,"regression",51,"regression",0.55
"152","LOCO-DNN",0.8,1000,"regression",52,"regression",0.6
"153","LOCO-DNN",0.8,1000,"regression",53,"regression",0.75
"154","LOCO-DNN",0.8,1000,"regression",54,"regression",0.4
"155","LOCO-DNN",0.8,1000,"regression",55,"regression",0.55
"156","LOCO-DNN",0.8,1000,"regression",56,"regression",0.65
"157","LOCO-DNN",0.8,1000,"regression",57,"regression",0.7
"158","LOCO-DNN",0.8,1000,"regression",58,"regression",0.45
"159","LOCO-DNN",0.8,1000,"regression",59,"regression",0.7
"160","LOCO-DNN",0.8,1000,"regression",60,"regression",0.55
"161","LOCO-DNN",0.8,1000,"regression",61,"regression",0.8
"162","LOCO-DNN",0.8,1000,"regression",62,"regression",0.6
"163","LOCO-DNN",0.8,1000,"regression",63,"regression",0.65
"164","LOCO-DNN",0.8,1000,"regression",64,"regression",0.8
"165","LOCO-DNN",0.8,1000,"regression",65,"regression",0.9
"166","LOCO-DNN",0.8,1000,"regression",66,"regression",0.6
"167","LOCO-DNN",0.8,1000,"regression",67,"regression",0.7
"168","LOCO-DNN",0.8,1000,"regression",68,"regression",0.7
"169","LOCO-DNN",0.8,1000,"regression",69,"regression",0.65
"170","LOCO-DNN",0.8,1000,"regression",70,"regression",0.5
"171","LOCO-DNN",0.8,1000,"regression",71,"regression",0.6
"172","LOCO-DNN",0.8,1000,"regression",72,"regression",0.6
"173","LOCO-DNN",0.8,1000,"regression",73,"regression",0.5
"174","LOCO-DNN",0.8,1000,"regression",74,"regression",0.55
"175","LOCO-DNN",0.8,1000,"regression",75,"regression",0.55
"176","LOCO-DNN",0.8,1000,"regression",76,"regression",0.35
"177","LOCO-DNN",0.8,1000,"regression",77,"regression",0.8
"178","LOCO-DNN",0.8,1000,"regression",78,"regression",0.5
"179","LOCO-DNN",0.8,1000,"regression",79,"regression",0.45
"180","LOCO-DNN",0.8,1000,"regression",80,"regression",0.6
"181","LOCO-DNN",0.8,1000,"regression",81,"regression",0.5
"182","LOCO-DNN",0.8,1000,"regression",82,"regression",0.65
"183","LOCO-DNN",0.8,1000,"regression",83,"regression",0.6
"184","LOCO-DNN",0.8,1000,"regression",84,"regression",0.9
"185","LOCO-DNN",0.8,1000,"regression",85,"regression",0.7
"186","LOCO-DNN",0.8,1000,"regression",86,"regression",0.5
"187","LOCO-DNN",0.8,1000,"regression",87,"regression",0.45
"188","LOCO-DNN",0.8,1000,"regression",88,"regression",0.65
"189","LOCO-DNN",0.8,1000,"regression",89,"regression",0.7
"190","LOCO-DNN",0.8,1000,"regression",90,"regression",0.65
"191","LOCO-DNN",0.8,1000,"regression",91,"regression",0.6
"192","LOCO-DNN",0.8,1000,"regression",92,"regression",0.55
"193","LOCO-DNN",0.8,1000,"regression",93,"regression",0.5
"194","LOCO-DNN",0.8,1000,"regression",94,"regression",0.65
"195","LOCO-DNN",0.8,1000,"regression",95,"regression",0.5
"196","LOCO-DNN",0.8,1000,"regression",96,"regression",0.9
"197","LOCO-DNN",0.8,1000,"regression",97,"regression",0.85
"198","LOCO-DNN",0.8,1000,"regression",98,"regression",0.8
"199","LOCO-DNN",0.8,1000,"regression",99,"regression",0.85
"200","LOCO-DNN",0.8,1000,"regression",100,"regression",0.65
